XLSMiesiac;Zwolennicy;Przeciwnicy;Obojetni;Premier
V 2005;19;29;45;Marek Belka
VI 2005;14;35;42;Marek Belka
VII 2005;13;37;42;Marek Belka
VIII 2005;15;37;41;Marek Belka
IX 2005;15;36;43;Marek Belka
X 2005;;;;
XI 2005;41;15;36;Kazimierz Marcinkiewicz
XII 2005;44;13;33;Kazimierz Marcinkiewicz
I 2006;50;10;31;Kazimierz Marcinkiewicz
II 2006;53;12;28;Kazimierz Marcinkiewicz
III 2006;48;15;30;Kazimierz Marcinkiewicz
IV 2006;50;14;29;Kazimierz Marcinkiewicz
V 2006;45;20;28;Kazimierz Marcinkiewicz
VI 2006;42;20;33;Kazimierz Marcinkiewicz
VII 2006;43;20;31;Kazimierz Marcinkiewicz
VIII 2006;28;36;31;Jaros�aw Kaczy�ski
IX 2006;26;39;31;Jaros�aw Kaczy�ski
X 2006;25;48;23;Jaros�aw Kaczy�ski
XI 2006;27;40;28;Jaros�aw Kaczy�ski
XII 2006;28;41;27;Jaros�aw Kaczy�ski
I 2007;31;38;27;Jaros�aw Kaczy�ski
II 2007;28;42;26;Jaros�aw Kaczy�ski
III 2007;24;48;24;Jaros�aw Kaczy�ski
IV 2007;27;44;25;Jaros�aw Kaczy�ski
V 2007;27;44;25;Jaros�aw Kaczy�ski
VI 2007;26;45;25;Jaros�aw Kaczy�ski
VII 2007;26;45;25;Jaros�aw Kaczy�ski
VIII 2007;25;46;25;Jaros�aw Kaczy�ski
IX 2007;29;46;22;Jaros�aw Kaczy�ski
X 2007;31;47;19;Jaros�aw Kaczy�ski
XI 2007;54;19;22;Donald Tusk
XII 2007;57;13;23;Donald Tusk
I 2008;58;15;21;Donald Tusk
II 2008;55;21;19;Donald Tusk
III 2008;53;19;24;Donald Tusk
IV 2008;50;20;26;Donald Tusk
V 2008;50;19;27;Donald Tusk
VI 2008;47;21;26;Donald Tusk
VII 2008;46;21;28;Donald Tusk
VIII 2008;43;24;27;Donald Tusk
IX 2008;45;22;29;Donald Tusk
X 2008;41;24;31;Donald Tusk
XI 2008;42;23;29;Donald Tusk
XII 2008;44;25;27;Donald Tusk
I 2009;45;24;28;Donald Tusk
II 2009;45;23;30;Donald Tusk
III 2009;43;27;27;Donald Tusk
IV 2009;44;26;26;Donald Tusk
V 2009;42;28;28;Donald Tusk
VI 2009;38;27;32;Donald Tusk
VII 2009;35;31;30;Donald Tusk
VIII 2009;38;28;30;Donald Tusk
IX 2009;39;26;32;Donald Tusk
X 2009;38;25;33;Donald Tusk
XI 2009;34;27;35;Donald Tusk
XII 2009;31;31;33;Donald Tusk
I 2010;36;34;27;Donald Tusk
II 2010;38;29;29;Donald Tusk
III 2010;36;26;33;Donald Tusk
IV 2010;43;24;29;Donald Tusk
V 2010;41;26;29;Donald Tusk
VI 2010;45;27;26;Donald Tusk
VII 2010;43;26;28;Donald Tusk
VIII 2010;38;31;28;Donald Tusk
IX 2010;41;27;30;Donald Tusk
X 2010;38;29;29;Donald Tusk
XI 2010;42;26;29;Donald Tusk
XII 2010;41;26;29;Donald Tusk
I 2011;38;30;27;Donald Tusk
II 2011;37;31;29;Donald Tusk
III 2011;36;30;30;Donald Tusk
IV 2011;33;34;29;Donald Tusk
V 2011;36;33;29;Donald Tusk
VI 2011;32;32;33;Donald Tusk
VII 2011;38;26;33;Donald Tusk
VIII 2011;38;28;32;Donald Tusk
IX 2011;36;27;34;Donald Tusk
X 2011;40;28;29;Donald Tusk
XI 2011;42;25;31;Donald Tusk
XII 2011;44;29;24;Donald Tusk
I 2012;36;31;29;Donald Tusk
II 2012;32;38;28;Donald Tusk
III 2012;31;45;21;Donald Tusk
IV 2012;27;44;25;Donald Tusk
V 2012;27;43;27;Donald Tusk
VI 2012;30;41;27;Donald Tusk
VII 2012;32;38;28;Donald Tusk
VIII 2012;30;39;29;Donald Tusk
IX 2012;26;40;31;Donald Tusk
X 2012;28;42;28;Donald Tusk
XI 2012;33;34;31;Donald Tusk
XII 2012;33;39;25;Donald Tusk
I 2013;28;35;34;Donald Tusk
II 2013;25;40;31;Donald Tusk
III 2013;25;43;28;Donald Tusk
IV 2013;25;43;29;Donald Tusk
V 2013;23;43;30;Donald Tusk
VI 2013;19;43;35;Donald Tusk
VII 2013;25;44;27;Donald Tusk
VIII 2013;23;47;28;Donald Tusk
IX 2013;23;45;29;Donald Tusk
X 2013;20;46;30;Donald Tusk
XI 2013;23;43;31;Donald Tusk
XII 2013;22;43;32;Donald Tusk
I 2014;26;43;27;Donald Tusk
II 2014;26;42;28;Donald Tusk
III 2014;29;43;25;Donald Tusk
IV 2014;25;43;29;Donald Tusk
V 2014;26;37;33;Donald Tusk
VI 2014;28;36;33;Donald Tusk
VII 2014;26;38;32;Donald Tusk
VIII 2014;23;44;30;Donald Tusk
IX 2014;35;37;26;Donald Tusk
X 2014;35;18;40;Ewa Kopacz
XI 2014;41;15;37;Ewa Kopacz
XII 2014;38;16;40;Ewa Kopacz
I 2015;30;25;40;Ewa Kopacz
II 2015;30;32;33;Ewa Kopacz
III 2015;37;29;31;Ewa Kopacz
IV 2015;31;32;32;Ewa Kopacz
V 2015;25;38;35;Ewa Kopacz
VI 2015;27;36;35;Ewa Kopacz
VII 2015;28;33;35;Ewa Kopacz
VIII 2015;32;31;33;Ewa Kopacz
IX 2015;32;33;32;Ewa Kopacz
X 2015;32;34;31;Ewa Kopacz
XI 2015;;;;
XII 2015;30;34;30;Beata Szyd�o
I 2016;36;31;28;Beata Szyd�o
II 2016;35;32;27;Beata Szyd�o
III 2016;36;33;27;Beata Szyd�o
IV 2016;38;31;28;Beata Szyd�o
V 2016;32;35;29;Beata Szyd�o
VI 2016;36;32;29;Beata Szyd�o
VII 2016;37;30;29;Beata Szyd�o
VIII 2016;37;32;29;Beata Szyd�o
IX 2016;34;33;28;Beata Szyd�o
X 2016;36;32;29;Beata Szyd�o
XI 2016;37;32;28;Beata Szyd�o
XII 2016;37;35;24;Beata Szyd�o
